ip_address,datetime,http_method,resource_path,status_code,bytes_sent,user_agent
172026003200,1699212602,0,GET /rbi HTTP/1.1,301,248,Python-urllib/3.7
172026003200,1699212602,0,GET /rbi/ HTTP/1.1,200,9298,Python-urllib/3.7
172026003200,1699212606,0,GET /rbi/ HTTP/1.1,200,9298,Python-urllib/3.7
172026003214,1699212661,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003200,1699212685,0,GET /anganwadi/ HTTP/1.1,200,19966,Python-urllib/3.7
172026003214,1699212721,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699212781,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699212841,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699212901,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699212962,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699213022,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699213081,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699213141,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699213201,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
172026003214,1699213261,0,GET /scan_m/cas_userstats/getUserStats.php,200,95,python-requests/2.5.1 CPython/3.8.5 Linux/3.10.0-327.el7.x86_64
